match_id,event_id,minute,second,team,team_id,player,player_id,recipient,recipient_id,start_x,start_y,end_x,end_y,outcome,length,angle,height,body_part,pass_type
15946,f7e4a0e3-cdf3-451c-8b93-4ba8cedeb2d3,1,12,Deportivo Alavés,206,Rubén Duarte Sánchez,6612,Jonathan Rodríguez Menéndez,6581.0,2.6,4.4,28.5,5.1,,25.909458,0.027020449,Low Pass,Left Foot,
15946,8495291c-95ef-491d-834c-974d831b86b4,1,16,Barcelona,217,Sergio Busquets i Burgos,5203,Samuel Yves Umtiti,5492.0,79.0,74.4,61.4,46.1,,33.326416,-2.1271691,Ground Pass,Left Foot,Recovery
15946,11863cc2-ce30-4cdb-a892-81bfed6274b8,1,21,Barcelona,217,Samuel Yves Umtiti,5492,Jordi Alba Ramos,5211.0,64.4,31.6,84.3,6.4,,32.109966,-0.90237826,Ground Pass,Left Foot,
15946,b3f3c6ff-04a4-4941-b0d2-59722856289a,1,23,Barcelona,217,Jordi Alba Ramos,5211,Ousmane Dembélé,5477.0,81.6,16.4,90.1,19.8,,9.15478,0.38050637,Ground Pass,Right Foot,
15946,33874298-0b8b-40ee-a0d6-7b01705c65a6,1,28,Barcelona,217,Ousmane Dembélé,5477,Ivan Rakitić,5470.0,83.7,2.9,67.9,9.6,,17.161877,2.7405264,Ground Pass,Right Foot,
15946,71ffb81d-1430-4ae2-8d06-b7b4920c750c,1,31,Barcelona,217,Ivan Rakitić,5470,Sergio Busquets i Burgos,5203.0,69.6,12.8,77.5,24.1,,13.787676,0.9606645,Ground Pass,Right Foot,
15946,22f4d181-fd17-4919-bce0-ee6de99d252e,1,32,Barcelona,217,Sergio Busquets i Burgos,5203,Samuel Yves Umtiti,5492.0,78.1,26.9,64.4,27.5,,13.713133,3.097825,Ground Pass,Right Foot,
15946,c4773a56-1bb9-457a-9a30-89d613dbb4c2,1,35,Barcelona,217,Samuel Yves Umtiti,5492,Ivan Rakitić,5470.0,63.4,30.9,67.9,19.2,,12.535549,-1.2036225,Ground Pass,Right Foot,
15946,37040b6e-ea63-4f88-8b7e-9b34cd1b494f,1,37,Barcelona,217,Ivan Rakitić,5470,Jordi Alba Ramos,5211.0,69.8,18.3,85.8,2.5,,22.48644,-0.77910894,Ground Pass,Right Foot,
15946,6deddc49-feac-4e3b-9a81-4a34a01c792c,1,39,Barcelona,217,Jordi Alba Ramos,5211,,,85.8,2.5,90.8,5.7,Incomplete,5.936329,0.56931317,Ground Pass,Left Foot,
15946,8181691d-bda3-4ef4-9beb-d2a1855b6247,1,47,Barcelona,217,Jordi Alba Ramos,5211,Ivan Rakitić,5470.0,81.8,0.1,70.2,9.6,,14.993666,2.4553938,Low Pass,,Throw-in
15946,8312b73b-994c-4998-bba5-a9cee4839233,1,49,Barcelona,217,Ivan Rakitić,5470,Gerard Piqué Bernabéu,5213.0,70.4,12.6,62.7,42.5,,30.875557,1.8228447,Ground Pass,Right Foot,
15946,fff1618c-9843-4eba-8cfe-51b07da08105,1,53,Barcelona,217,Gerard Piqué Bernabéu,5213,Nélson Cabral Semedo,6374.0,64.9,53.4,69.8,69.5,,16.829142,1.2753555,Ground Pass,Right Foot,
15946,7007077d-080a-46bc-ade8-7bcc4879974c,1,55,Barcelona,217,Nélson Cabral Semedo,6374,Lionel Andrés Messi Cuccittini,5503.0,70.9,70.5,76.9,74.6,,7.267049,0.5994525,Ground Pass,Right Foot,
15946,d46365f7-0f58-4e1f-9433-b053c916ff93,1,55,Barcelona,217,Lionel Andrés Messi Cuccittini,5503,Nélson Cabral Semedo,6374.0,76.9,74.6,78.6,66.9,,7.8854294,-1.3535029,Ground Pass,Left Foot,
15946,95b87d4e-3dc8-408d-b7dd-f79a0b81cc6f,1,57,Barcelona,217,Nélson Cabral Semedo,6374,Sergi Roberto Carnicer,6379.0,78.6,68.6,71.7,67.7,,6.958448,-3.0118902,Ground Pass,Right Foot,
15946,441a8216-6256-4a16-879c-bc48be4a629f,1,58,Barcelona,217,Sergi Roberto Carnicer,6379,Lionel Andrés Messi Cuccittini,5503.0,71.1,68.2,76.9,76.1,,9.80051,0.9374989,Ground Pass,Right Foot,
15946,25e34652-3a83-419a-8408-cdc00ed108d8,2,0,Barcelona,217,Lionel Andrés Messi Cuccittini,5503,Samuel Yves Umtiti,5492.0,73.9,69.5,61.0,32.0,,39.656776,-1.902116,Ground Pass,Left Foot,
15946,734ad077-2d6b-4a2b-87ca-1f499cef99f8,2,6,Barcelona,217,Samuel Yves Umtiti,5492,Ivan Rakitić,5470.0,68.7,23.9,72.4,25.6,Incomplete,4.0718546,0.43069252,Ground Pass,Left Foot,
15946,5ed7e3d2-eb9a-4914-8b1e-ff4a7436a5e0,2,8,Barcelona,217,Sergio Busquets i Burgos,5203,Ivan Rakitić,5470.0,77.5,28.2,69.4,23.0,Incomplete,9.625487,-2.5708795,Ground Pass,Right Foot,Recovery
15946,528fae41-750f-40d0-b301-6fa2b64746e7,2,10,Deportivo Alavés,206,Ibai Gómez Pérez,6617,Mubarak Wakaso,6626.0,50.7,57.1,55.9,47.9,,10.567876,-1.056345,Ground Pass,Right Foot,Recovery
15946,24b4eeff-7919-4a38-8fb1-fa61cc2869fd,2,10,Deportivo Alavés,206,Mubarak Wakaso,6626,Ibai Gómez Pérez,6617.0,55.2,48.9,82.4,73.7,Incomplete,36.808693,0.73927706,Ground Pass,Left Foot,
15946,34310fd9-ebaa-472d-b54c-bf6bf9e66c98,2,14,Barcelona,217,Jordi Alba Ramos,5211,Marc-André ter Stegen,20055.0,37.7,6.4,13.1,26.5,,31.767437,2.4565277,Ground Pass,Right Foot,Recovery
15946,3092a158-3f76-448c-a30a-e6b78bb27830,2,17,Barcelona,217,Marc-André ter Stegen,20055,Gerard Piqué Bernabéu,5213.0,12.7,28.6,24.9,39.7,,16.493938,0.7382229,Ground Pass,Right Foot,
15946,d15fd0ee-5410-4d1f-b440-7674595d9881,2,20,Barcelona,217,Gerard Piqué Bernabéu,5213,Ivan Rakitić,5470.0,31.1,39.9,42.0,27.3,,16.660433,-0.8576128,Ground Pass,Right Foot,
15946,96c89235-1a30-47d0-accd-81309e05f4c3,2,24,Barcelona,217,Ivan Rakitić,5470,Lionel Andrés Messi Cuccittini,5503.0,50.3,27.1,111.5,52.9,,66.41596,0.39896065,High Pass,Right Foot,
15946,9cb57b9d-2254-42da-919d-a0e53141664d,2,56,Deportivo Alavés,206,Fernando Pacheco Flores,6629,,,7.0,44.1,80.3,80.0,Out,81.61924,0.45542863,High Pass,Right Foot,Goal Kick
15946,2e21cc4d-d38c-4dd2-bc95-62dbe48b7a59,3,8,Barcelona,217,Jordi Alba Ramos,5211,Sergio Busquets i Burgos,5203.0,40.1,0.1,39.8,6.6,,6.5069194,1.6169175,Low Pass,,Throw-in
15946,bf57a881-7223-40eb-adf5-1dde47229858,3,10,Barcelona,217,Sergio Busquets i Burgos,5203,Nélson Cabral Semedo,6374.0,38.8,13.6,49.0,65.2,,52.59848,1.3756379,High Pass,Right Foot,
15946,d39838d9-546f-4992-a9aa-6afa81f50983,3,15,Barcelona,217,Nélson Cabral Semedo,6374,Sergi Roberto Carnicer,6379.0,54.6,64.1,53.5,53.6,,10.557462,-1.6751775,Ground Pass,Right Foot,
15946,e896a92d-13ea-4fef-9063-632709f58f10,3,16,Barcelona,217,Sergi Roberto Carnicer,6379,Lionel Andrés Messi Cuccittini,5503.0,52.9,52.1,55.7,52.6,Incomplete,2.8442926,0.17670886,Ground Pass,Right Foot,
15946,fe7d60e7-94dc-4c99-a470-a61c3f23247e,3,21,Barcelona,217,Sergio Busquets i Burgos,5203,Gerard Piqué Bernabéu,5213.0,51.2,41.9,48.8,51.9,,10.283968,1.8063413,Ground Pass,Right Foot,
15946,fca49cb8-7fda-4f28-9c06-ed2884121147,3,23,Barcelona,217,Gerard Piqué Bernabéu,5213,Samuel Yves Umtiti,5492.0,50.1,51.3,48.2,25.8,,25.570686,-1.6451687,Ground Pass,Right Foot,
15946,5cca4e24-e4cc-43e0-b5a4-f3b267a078df,3,27,Barcelona,217,Samuel Yves Umtiti,5492,Jordi Alba Ramos,5211.0,52.5,21.5,71.5,3.4,,26.241379,-0.76114416,Ground Pass,Left Foot,
15946,cf1de934-6dd1-4fd3-a1f5-ba0489e5df77,3,30,Barcelona,217,Jordi Alba Ramos,5211,Ousmane Dembélé,5477.0,72.4,4.0,75.8,10.4,,7.2470684,1.0824624,Ground Pass,Left Foot,
15946,26c51772-7042-4425-bf6d-df3265de07fb,3,30,Barcelona,217,Ousmane Dembélé,5477,Jordi Alba Ramos,5211.0,76.2,10.8,72.6,6.4,,5.685068,-2.2565258,Ground Pass,Right Foot,
15946,6bee9dba-ba85-4ae5-ad85-ce29d29dd70d,3,31,Barcelona,217,Jordi Alba Ramos,5211,Ivan Rakitić,5470.0,73.0,7.4,68.5,13.6,,7.6609397,2.198633,Ground Pass,Left Foot,
15946,35ab3e93-136f-40d8-9b30-3c7bfb5cfe35,3,35,Barcelona,217,Ivan Rakitić,5470,Gerard Piqué Bernabéu,5213.0,67.0,19.0,57.2,42.9,,25.831182,1.9599293,Ground Pass,Right Foot,
15946,5bfdc5b1-04c7-4e58-b0c2-ed6b9e3d3952,3,39,Barcelona,217,Gerard Piqué Bernabéu,5213,Jordi Alba Ramos,5211.0,65.9,50.6,103.8,4.2,,59.91135,-0.8858889,High Pass,Right Foot,
15946,cb6e10c2-393a-4bcc-842a-cb10df75e21b,3,45,Barcelona,217,Jordi Alba Ramos,5211,Ousmane Dembélé,5477.0,104.2,8.9,103.8,19.2,,10.307764,1.6096117,Ground Pass,Left Foot,
15946,3687b10e-e7c6-4bf0-a849-78823ed483a6,3,49,Barcelona,217,Ousmane Dembélé,5477,Sergi Roberto Carnicer,6379.0,116.2,17.7,111.3,54.5,,37.12479,1.7031698,High Pass,Left Foot,
15946,9aaf43de-ff55-4353-a1a5-26901b93d050,3,51,Barcelona,217,Sergi Roberto Carnicer,6379,Nélson Cabral Semedo,6374.0,111.3,54.5,100.0,71.6,,20.496342,2.1547394,Low Pass,,
15946,ac244dc3-8eb9-45af-acdb-1627a63635a5,3,56,Barcelona,217,Nélson Cabral Semedo,6374,Sergi Roberto Carnicer,6379.0,94.8,70.9,92.0,65.0,,6.530697,-2.0138988,Ground Pass,Left Foot,
15946,1261ea75-04c5-456d-8e73-fd2a65ff19fa,3,58,Barcelona,217,Sergi Roberto Carnicer,6379,Sergio Busquets i Burgos,5203.0,89.0,64.7,84.3,60.7,,6.1717095,-2.4364812,Ground Pass,Left Foot,
15946,3f4c3259-37f2-447c-b2c4-98f245fd150a,3,58,Barcelona,217,Sergio Busquets i Burgos,5203,Sergi Roberto Carnicer,6379.0,84.3,60.7,80.7,63.9,,4.816638,2.4149504,Ground Pass,Right Foot,
15946,c12895e8-32bc-400b-b759-8a827110a72b,4,0,Deportivo Alavés,206,Manuel Alejandro García Sánchez,6632,Rubén Sobrino Pozuelo,6613.0,39.8,18.6,46.5,21.3,,7.2235727,0.38307706,Ground Pass,Left Foot,Recovery
15946,f97977ff-8ef0-43a4-ba11-cbff0e6b8ade,4,2,Deportivo Alavés,206,Rubén Sobrino Pozuelo,6613,Jonathan Rodríguez Menéndez,6581.0,46.5,21.3,52.7,12.6,,10.683165,-0.951635,Ground Pass,Right Foot,
15946,8061fa55-94ec-44a9-8fed-aa5bf76864a2,4,9,Deportivo Alavés,206,Jonathan Rodríguez Menéndez,6581,Rubén Sobrino Pozuelo,6613.0,103.4,13.6,113.8,40.6,Incomplete,28.933718,1.2031262,Ground Pass,Left Foot,
15946,b838f283-e6db-4c73-8c9b-8b1d05176fbe,4,12,Barcelona,217,Marc-André ter Stegen,20055,Jordi Alba Ramos,5211.0,8.4,39.5,29.8,23.0,,27.022398,-0.6568238,Low Pass,Keeper Arm,
15946,c4404c65-a63a-46fd-9504-38d2f0a6038c,4,17,Barcelona,217,Jordi Alba Ramos,5211,Ousmane Dembélé,5477.0,52.3,11.9,61.2,7.4,,9.972963,-0.46813187,Ground Pass,Right Foot,
15946,d9cc2921-b01c-4976-af25-56b7d0b9e922,4,23,Barcelona,217,Ousmane Dembélé,5477,Ivan Rakitić,5470.0,76.4,11.1,67.9,21.1,,13.124405,2.2752905,Ground Pass,Right Foot,
15946,18d2e5b4-6ee3-4dc1-b52c-42595479361f,4,26,Barcelona,217,Ivan Rakitić,5470,Ousmane Dembélé,5477.0,69.8,19.8,83.1,7.6,,18.04799,-0.74228764,Ground Pass,Right Foot,
